,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success,isDoll
2096,"p[-0.449772,0.0350665,0.52,-0.3,3.14,0]","p[-0.65369,-0.180275,0.52,-0.3,3.14,0]",2.15596,1,0,1,1,3,0,255,"p[-11.5419,-11.5385,17.783,1.88916,-3.91398,-0.363199]",0,1.0
2097,"p[-0.587683,-0.0499905,0.52,-0.3,3.14,0]","p[-0.476963,0.135275,0.52,-0.3,3.14,0]",-2.08924,1,0,1,1,3,0,255,"p[-6.75062,-14.8488,8.60296,0.807109,-3.01357,-1.67242]",1,1.0
2098,"p[-0.403472,0.0594047,0.52,-0.3,3.14,0]","p[-0.47354,0.243688,0.52,-0.3,3.14,0]",-1.15461,1,0,1,2,3,0,255,"p[-15.8626,-3.0486,13.122,-0.198884,-2.88638,-1.02923]",1,1.0
2099,"p[-0.533754,0.165916,0.52,-0.3,3.14,0]","p[-0.664837,0.145118,0.52,-0.3,3.14,0]",-1.88375,1,0,1,3,3,0,255,"p[-31.4554,-1.29125,26.1441,0.417348,-5.62501,-1.80889]",0,1.0
2100,"p[-0.456222,0.145145,0.52,-0.3,3.14,0]","p[-0.616746,0.14727,0.52,-0.3,3.14,0]",1.76368,1,0,1,3,3,0,255,"p[-18.2656,-5.88784,15.5783,0.523842,-5.78686,-0.96018]",0,1.0
2101,"p[-0.676661,-0.154776,0.52,-0.3,3.14,0]","p[-0.544693,0.145116,0.52,-0.3,3.14,0]",-0.328815,1,0,1,3,3,0,255,"p[-2.18553,-15.031,0.781276,2.30433,-1.17464,-0.228101]",0,1.0
2102,"p[-0.670053,0.0603129,0.52,-0.3,3.14,0]","p[-0.541386,-0.10401,0.52,-0.3,3.14,0]",-2.20898,1,0,1,1,3,0,255,"p[-9.79404,-16.8601,18.5127,1.81553,-3.83125,-1.72633]",1,1.0
2103,"p[-0.578691,0.0277131,0.52,-0.3,3.14,0]","p[-0.487182,-0.0531969,0.52,-0.3,3.14,0]",-2.84709,1,0,1,2,3,0,255,"p[-10.6618,-11.4881,13.085,2.04158,-2.76175,-0.395633]",1,1.0
2104,"p[-0.653121,-0.0325957,0.52,-0.3,3.14,0]","p[-0.408805,-0.0572458,0.52,-0.3,3.14,0]",-2.87245,1,0,1,1,3,0,255,"p[-4.76899,-13.0918,16.5836,2.35735,-4.09295,-0.298364]",1,1.0
2105,"p[-0.437008,0.186429,0.52,-0.3,3.14,0]","p[-0.61644,-0.0515981,0.52,-0.3,3.14,0]",-2.82576,1,0,1,3,3,0,255,"p[-12.1734,-5.99167,6.68641,1.50812,-1.66558,-0.964788]",0,1.0
2106,"p[-0.440169,0.0386403,0.52,-0.3,3.14,0]","p[-0.499165,-0.0560993,0.52,-0.3,3.14,0]",0.0653529,1,0,1,3,3,0,255,"p[-15.4571,-18.5755,18.1763,2.87276,-2.95145,-2.31467]",0,1.0
2107,"p[-0.380259,-0.127573,0.52,-0.3,3.14,0]","p[-0.557117,0.216406,0.52,-0.3,3.14,0]",-1.89457,1,0,1,3,3,0,255,"p[-28.6603,-4.33723,22.1137,-1.43228,-5.29132,-1.54189]",0,0.0
2108,"p[-0.644589,0.0563054,0.52,-0.3,3.14,0]","p[-0.408185,0.188678,0.52,-0.3,3.14,0]",-2.31917,1,0,1,3,3,0,255,"p[-20.876,-13.3828,18.1813,-0.497813,-4.24451,-1.9144]",0,1.0
2109,"p[-0.677135,0.0644299,0.52,-0.3,3.14,0]","p[-0.382392,-0.0509801,0.52,-0.3,3.14,0]",0.834061,1,0,1,3,3,0,255,"p[-5.33885,-13.9278,13.5654,2.25848,-1.57364,-2.02162]",0,1.0
2110,"p[-0.429158,0.00884274,0.52,-0.3,3.14,0]","p[-0.565826,0.0993984,0.52,-0.3,3.14,0]",2.78323,1,0,1,1,3,0,255,"p[-22.9784,-2.40524,18.8835,1.46109,-3.76066,1.3343]",0,0.0
2111,"p[-0.32493,-0.0622097,0.52,-0.3,3.14,0]","p[-0.483295,-0.114893,0.52,-0.3,3.14,0]",-2.71893,1,0,1,2,3,0,255,"p[-14.2844,-15.8533,20.5216,1.36762,-4.15506,-0.515678]",1,1.0
2112,"p[-0.350912,-0.0894056,0.52,-0.3,3.14,0]","p[-0.415532,0.264127,0.52,-0.3,3.14,0]",1.97492,1,0,1,3,3,0,255,"p[-14.1885,-4.86976,13.6773,-0.121157,-4.01971,-0.237745]",0,1.0
2113,"p[-0.565573,-0.199076,0.52,-0.3,3.14,0]","p[-0.660266,0.116869,0.52,-0.3,3.14,0]",3.08506,1,0,1,1,3,0,255,"p[-22.1535,-5.93564,14.8115,1.31225,-4.78724,0.102073]",0,1.0
2114,"p[-0.661779,-0.145833,0.52,-0.3,3.14,0]","p[-0.544663,-0.0812766,0.52,-0.3,3.14,0]",2.44682,1,0,1,1,3,0,255,"p[-22.4105,-14.6466,23.9743,2.28944,-3.60798,0.0182931]",0,1.0
2115,"p[-0.504207,0.0290998,0.52,-0.3,3.14,0]","p[-0.619812,0.0469287,0.52,-0.3,3.14,0]",1.29656,1,0,1,3,3,0,255,"p[-12.8445,-8.36202,11.3291,0.816468,-1.81205,-1.1851]",0,1.0
2116,"p[-0.40204,-0.0126297,0.52,-0.3,3.14,0]","p[-0.598463,-0.0525351,0.52,-0.3,3.14,0]",-1.2481,1,0,1,1,3,0,255,"p[-23.1105,-11.1968,25.7373,1.55365,-4.89152,-1.49359]",0,1.0
2117,"p[-0.469258,0.0581241,0.52,-0.3,3.14,0]","p[-0.361665,-0.154526,0.52,-0.3,3.14,0]",1.70151,1,0,1,1,3,0,255,"p[-5.62328,-16.3789,22.1979,3.05219,-3.73099,0.540682]",1,1.0
2118,"p[-0.361669,-0.115676,0.52,-0.3,3.14,0]","p[-0.59439,-0.169387,0.52,-0.3,3.14,0]",-1.14461,1,0,1,3,3,0,255,"p[-32.2233,-15.6006,32.2074,3.06764,-7.64575,-1.04967]",0,1.0
2119,"p[-0.627532,0.125792,0.52,-0.3,3.14,0]","p[-0.394649,-0.0280076,0.52,-0.3,3.14,0]",2.4575,1,0,1,3,3,0,255,"p[-9.69935,-16.7039,12.3088,2.20966,-2.41006,-0.0249207]",0,1.0
2120,"p[-0.666045,-0.0465096,0.52,-0.3,3.14,0]","p[-0.535201,-0.111111,0.52,-0.3,3.14,0]",0.0180919,1,0,1,3,3,0,255,"p[-3.15272,-13.9847,11.098,1.72629,-1.39716,-1.71312]",0,1.0
2121,"p[-0.449313,-0.00722275,0.52,-0.3,3.14,0]","p[-0.60949,0.16369,0.52,-0.3,3.14,0]",2.32712,1,0,1,3,3,0,255,"p[-33.8829,-0.641264,27.2248,0.0120737,-7.34862,-1.31192]",0,1.0
2122,"p[-0.503791,0.260973,0.52,-0.3,3.14,0]","p[-0.550941,0.0943506,0.52,-0.3,3.14,0]",1.20207,1,0,1,3,3,0,255,"p[-9.11391,-2.47593,22.5722,0.532855,-5.05926,0.57444]",0,1.0
2123,"p[-0.483752,0.171279,0.52,-0.3,3.14,0]","p[-0.323294,-0.0547124,0.52,-0.3,3.14,0]",1.0994,1,0,1,2,3,0,255,"p[-9.73943,-18.119,11.1,2.4516,-2.34936,0.273516]",1,1.0
2124,"p[-0.558949,-0.0793614,0.52,-0.3,3.14,0]","p[-0.523899,0.0937433,0.52,-0.3,3.14,0]",1.97262,1,0,1,3,3,0,255,"p[-11.3977,-9.13701,15.1753,2.15678,-3.47228,-0.497091]",0,1.0
2125,"p[-0.431056,0.0516639,0.52,-0.3,3.14,0]","p[-0.434117,0.113815,0.52,-0.3,3.14,0]",-0.367387,1,0,1,3,3,0,255,"p[-10.4856,-8.27121,18.6857,-0.0924801,-3.99848,-1.05688]",0,1.0
