,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success
6985,"p[-0.37903,-0.455887,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499959,-1.50975,2.68374,0.000127003]",0.296533,1,0,1,3,3,0,255,"p[-8.3421,-26.8405,6.08687,2.39177,0.147585,-2.08057]",0
6986,"p[-0.52339,-0.257613,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499977,-1.5097,2.68382,-0.000104807]",2.16761,1,0,1,3,3,0,255,"p[-10.1125,-20.2911,5.36922,1.69002,-0.257367,-0.24767]",0
6987,"p[-0.40778,-0.314939,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499961,-1.50974,2.68362,-1.88879e-05]",-1.95354,1,0,1,3,3,0,255,"p[-7.5008,-21.4158,7.46786,3.16944,-1.55891,0.0817321]",0
6988,"p[-0.390383,-0.347199,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499992,-1.50974,2.68385,-0.000114014]",0.169557,1,0,1,3,3,0,255,"p[-10.8423,-21.5845,3.91173,1.87409,0.201247,-0.568864]",0
6989,"p[-0.447586,-0.377067,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500041,-1.50991,2.68383,9.09582e-05]",2.26533,1,0,1,3,3,0,255,"p[-8.33665,-22.94,4.25704,2.00464,-0.0550098,-1.33254]",0
6990,"p[-0.505972,-0.291766,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499983,-1.50971,2.68381,-0.000187772]",2.63488,1,0,1,3,3,0,255,"p[-9.33365,-21.6023,6.13389,2.46432,-0.782956,-1.01256]",0
6991,"p[-0.530232,-0.356206,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499962,-1.5096,2.68362,-3.86165e-06]",2.84428,1,0,1,3,3,0,255,"p[-10.8306,-24.2821,10.2814,3.48445,-2.05239,-0.362767]",0
6992,"p[-0.315933,-0.286295,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499988,-1.50969,2.68382,2.26878e-06]",2.62663,1,0,1,3,3,0,255,"p[-8.1905,-21.1634,3.70118,1.68967,-0.225993,-0.850908]",0
6993,"p[-0.356196,-0.469014,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499984,-1.50962,2.68375,-0.00016995]",0.441066,1,0,1,3,3,0,255,"p[-5.98745,-27.5044,4.96375,2.38999,0.472794,-2.61735]",0
6994,"p[-0.337557,-0.36073,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499948,-1.50965,2.68372,-0.000161332]",-2.87431,1,0,1,3,3,0,255,"p[-9.17096,-23.6461,8.42763,3.21838,-1.49267,-1.05011]",0
